key,description,attached to,status,suggested key
humanities.philosophy.philosophical-traditions-and-schools.platonism,Study of philosophical system derived from Plato.,,valid,
humanities.philosophy.history-of-philosophy,Study of philosophical development over time.,History|1,valid,
humanities.religious-studies,Study of religious beliefs practices and institutions.,,valid,
humanities.religious-studies.history-of-religion,Study of religions through historical development.,History|1,valid,
humanities.religious-studies.anthropology-of-religion,Study of religion through anthropological approaches.,Cultural studies|1,valid,
humanities.religious-studies.sociology-of-religion,Study of religion as a social phenomenon.,Sociology|1,valid,
humanities.religious-studies.psychology-of-religion,Study of religious experience and behavior from psychology.,Psychology|1,valid,
humanities.religious-studies.phenomenology-of-religion,Study of religious phenomena as experienced and described.,,valid,
humanities.religious-studies.philosophy-of-religion,Study of philosophical questions about religion.,Philosophy|1,valid,
humanities.religious-studies.comparative-religion,Study of religions by comparing beliefs practices and texts.,Cultural studies|1,valid,
humanities.religious-studies.mythology-and-folklore,Study of myths folklore and traditional narratives.,Literature|1,valid,
humanities.religious-studies.theism,Study of belief in deities and theological arguments.,,valid,
humanities.religious-studies.divinity,Study of theological training and religious practice.,,valid,
humanities.religious-studies.divinity.church-history,Study of the history of Christian churches.,History|1,valid,
humanities.religious-studies.divinity.field-ministry,Study of practical ministry and religious service.,,valid,
humanities.religious-studies.divinity.field-ministry.pastoral-counseling,Study of counseling within pastoral and religious contexts.,Psychology|1,valid,
humanities.religious-studies.divinity.field-ministry.pastoral-theology,Study of applying theology to pastoral practice.,,valid,
humanities.religious-studies.divinity.field-ministry.religious-education-techniques,Study of methods for teaching religion and faith formation.,Psychology|1,valid,
humanities.religious-studies.divinity.field-ministry.homiletics,Study of preaching and sermon composition.,,valid,
humanities.religious-studies.divinity.field-ministry.liturgy,Study of religious worship rituals and liturgical practice.,,valid,
humanities.religious-studies.divinity.field-ministry.sacred-music,Study of music used in religious worship.,Music|1,valid,
humanities.religious-studies.divinity.field-ministry.missiology,Study of religious missions and evangelization.,Religious studies|1,valid,
humanities.religious-studies.divinity.hermeneutics,Study of interpretation of sacred texts and meanings.,Linguistics|1,valid,
humanities.religious-studies.divinity.scriptural-study-and-languages,Study of sacred texts and the languages used in scripture.,Linguistics|1,valid,
humanities.religious-studies.divinity.scriptural-study-and-languages.avestan,Study of the Avestan language in religious texts.,Linguistics|1,valid,
humanities.religious-studies.divinity.scriptural-study-and-languages.biblical-hebrew,Study of Biblical Hebrew language and texts.,Linguistics|1,valid,
humanities.religious-studies.divinity.scriptural-study-and-languages.biblical-studies-sacred-scripture,Study of sacred scriptures and their interpretation.,History|1,valid,
humanities.religious-studies.divinity.scriptural-study-and-languages.classical-arabic,Study of Classical Arabic in religious and historical texts.,Linguistics|1,valid,
humanities.religious-studies.divinity.scriptural-study-and-languages.classical-armenian,Study of Classical Armenian language and texts.,Linguistics|1,valid,
humanities.religious-studies.divinity.scriptural-study-and-languages.coptic,Study of the Coptic language and its religious texts.,Linguistics|1,valid,
humanities.religious-studies.divinity.scriptural-study-and-languages.ge-ez,Study of the Ge'ez language and its scriptures.,Linguistics|1,valid,
humanities.religious-studies.divinity.scriptural-study-and-languages.koine-greek,Study of Koine Greek as used in early Christian texts.,Linguistics|1,valid,
humanities.religious-studies.divinity.scriptural-study-and-languages.latin,Study of Latin language for religious and historical texts.,Linguistics|1,valid,
humanities.religious-studies.divinity.scriptural-study-and-languages.old-church-slavonic,Study of Old Church Slavonic language in liturgical texts.,Linguistics|1,valid,
humanities.religious-studies.divinity.scriptural-study-and-languages.old-georgian,Study of Old Georgian language and its religious literature.,Linguistics|1,valid,
humanities.religious-studies.divinity.scriptural-study-and-languages.pali,Study of Pali language used in Buddhist scriptures.,Linguistics|1,valid,
humanities.religious-studies.divinity.scriptural-study-and-languages.syriac,Study of Syriac language and its religious literature.,Linguistics|1,valid,
humanities.religious-studies.divinity.scriptural-study-and-languages.vedic-sanskrit-vedas,Study of Vedic Sanskrit and Vedic scriptures.,Linguistics|1,valid,
humanities.religious-studies.religion,Study of religious beliefs practices and institutions in general.,,valid,
humanities.religious-studies.religion.abrahamic-religions,Study of religions tracing heritage to Abraham.,,valid,
humanities.religious-studies.religion.abrahamic-religions.christianity,Study of Christianity as a religion and tradition.,,valid,
humanities.religious-studies.religion.abrahamic-religions.islam-islamic-studies,Study of Islam and Islamic traditions.,,valid,
humanities.religious-studies.religion.abrahamic-religions.judaism-jewish-studies,Study of Judaism and Jewish traditions.,,valid,
humanities.religious-studies.religion.apologetics,Study of defending and explaining religious doctrines.,,valid,
humanities.religious-studies.religion.indian-religions,Study of religions originating in the Indian subcontinent.,,valid,
humanities.religious-studies.religion.indian-religions.buddhism-buddhist-studies,Study of Buddhism and Buddhist traditions.,,valid,
humanities.religious-studies.religion.indian-religions.hinduism,Study of Hindu religious traditions and practices.,,valid,
humanities.religious-studies.religion.indian-religions.jainism,Study of Jain religious traditions and ethics.,,valid,
humanities.religious-studies.religion.indian-religions.sikhism,Study of Sikh religious traditions and practices.,,valid,
humanities.religious-studies.religion.east-asian-religions,Study of religious traditions in East Asia.,,valid,
humanities.religious-studies.religion.east-asian-religions.chinese-folk-religion,Study of Chinese folk religious practices and beliefs.,,valid,
humanities.religious-studies.religion.east-asian-religions.confucianism,Study of Confucian religious and philosophical tradition.,,valid,
humanities.religious-studies.religion.east-asian-religions.shinto,Study of Shinto beliefs and rituals in Japan.,,valid,
humanities.religious-studies.religion.east-asian-religions.daoism,Study of Daoist religious and philosophical traditions.,,valid,
humanities.religious-studies.religion.east-asian-religions.i-kuan-tao,Study of I-Kuan Tao religious movement.,,valid,
